O,D,Bike_time,Bike_dist
9,9,0,0
9,10,1421.16,7.08
9,11,617.67,2.39
9,12,782.85,3.91
9,13,1012.48,5.02
9,14,2436.94,11.96
9,15,1987.19,9.87
9,16,1803.54,8.75
9,17,1441.73,7.21
9,18,700.2,3.49
9,19,2108.64,10.42
9,20,882.92,4.41
9,21,3440.13,17.17
9,22,2839.29,14.19
9,23,1118.69,5.56
9,24,1281.73,5.93
9,25,1558.74,7.76
9,26,2494.02,12.43
9,27,1479.9,7.4
9,28,1739.09,8.67
9,29,2655.03,13.14
9,30,1834.39,9.13
9,31,2022.05,9.92
9,32,3130.54,15.55
9,33,1823.34,9.12
9,34,1462.53,7.31
9,35,2113.71,10.57
9,36,1225.94,5.93
9,37,1014.73,4.97
9,38,957.68,4.73
9,39,4315.59,21.54
9,40,5482.36,26.65
9,41,2480.46,12.4
9,42,1399.57,7
9,43,2573.38,12.63
9,44,4645.89,23.08
9,45,2533.67,12.67
9,46,4058.64,20.27
9,47,4872.95,24.25
9,48,3714.67,18.52
9,49,3706.12,18.48
9,50,4261.88,20.78
9,51,4227.08,20.95
9,52,3397.07,16.94
9,53,3760.18,18.41
9,54,2565.16,12.64
9,55,2306.18,11.46
9,56,485.02,2.43
9,57,1745.77,8.64
9,58,3365.43,16.79
9,59,3602.08,17.96
9,60,1041.97,5.21
9,61,2618.57,13.09
9,62,2447.21,12.24
9,63,2829.78,14.11
9,64,4920,24.45
9,65,5085.66,25.05
9,66,1804.4,8.95
9,67,2605.59,12.95
9,68,2941.17,14.57
9,69,1660.44,8.29
9,70,2482.62,11.94
9,71,2174.61,10.87
9,72,4024.06,19.94
9,73,2719.78,13.57
9,74,3731.08,18.66
9,75,4797.71,23.61
9,76,4468.5,22.3
9,77,4851.31,24.05
9,78,2785.67,13.75
9,79,1719.45,8.17
9,80,1897.47,9.44
9,81,2006.25,9.94
9,82,1046.3,5.23
9,83,816.85,4.08
9,84,383.13,1.92
9,85,2332,11.59
9,86,1828.89,8.93
9,87,2089.43,10.41
9,88,2926.08,14.59
9,89,1833.25,9.09
9,90,956.08,4.78
9,91,1679.88,7.82
9,92,2427.14,12.11
9,93,2249.16,11.05
9,94,2478.59,12.31
9,95,2251.81,11.19
9,96,3020.77,15.05
9,97,3329.03,16.64
9,98,3653.15,18.26
9,99,2927.56,14.6
9,100,2308.09,11.49
9,101,3896.46,19.46
9,102,3883.49,18.8
9,103,2034.27,10.08
9,104,1528.1,7.59
9,105,2460.31,12.04
9,106,2113.22,10.1
9,107,3588.14,15.95
9,108,3531.73,17.61
9,109,2618.36,12.9
9,110,3509.66,17.19
9,111,2985.5,14.57
9,112,3675.81,18.36
9,113,5757.52,27.56
9,114,3266.73,16.33
10,1,1827.62,9.14
10,2,1791.21,8.96
10,3,1548.56,7.64
10,4,1856.53,9.28
10,5,2246.04,11.09
10,6,1948.6,9.53
10,7,2016.47,9.93
10,8,813.48,4.07
10,9,1455.76,7.2
10,10,0,0
10,11,1428.76,6.37
10,12,1064.71,5.07
10,13,2794.32,13.89
10,14,2575.03,12.63
10,15,1852.44,9.22
10,16,2793.33,13.59
10,17,2431.51,12.05
10,18,1857.15,9.25
10,19,3872.43,19.04
10,20,1400.89,6.68
10,21,2202.05,10.98
10,22,1601.22,8.01
10,23,2064.64,10.32
10,24,907.42,4.42
10,25,2504.69,12.52
10,26,3134.8,15.65
10,27,1112.18,5.56
10,28,2137.05,10.59
10,29,1670.03,8.21
10,30,2475.17,12.35
10,31,2525.65,12.47
10,32,2145.54,10.63
10,33,2554.57,12.73
10,34,2066.79,10.33
