O,D,Car_time,Car_dist
7,22,876.8,10.86
7,23,726.52,7.01
7,24,508.69,5.11
7,25,1015.21,9.91
7,26,566.32,6.6
7,27,291.45,2.82
7,28,287.23,2.23
7,29,716.16,8.57
7,30,401.08,4.08
7,31,315.81,3.31
7,32,679.97,10.22
7,33,1350.68,16.58
7,34,1232.4,15.38
7,35,1631.36,19.24
7,36,625.47,6.75
7,37,539.28,5.39
7,38,841.65,10.1
7,39,1207.83,13.89
7,40,1473.7,19.72
7,41,1519.75,20.94
7,42,1193.9,14.75
7,43,1167.63,12.36
7,44,2182.11,28.05
7,45,847.22,8.79
7,46,1214.24,13.03
7,47,1290.98,15.83
7,48,1022.18,12.1
7,49,1206.42,13.29
7,50,1529.57,15.1
7,51,1201.99,14.17
7,52,903.79,11.36
7,53,1824.87,24.58
7,54,1498.43,21.32
7,55,1475.16,19.25
7,56,880.86,10.08
7,57,958.87,9.6
7,58,940.19,11.03
7,59,998.54,10.83
7,60,1155.39,13.63
7,61,876.27,10.41
7,62,1422.36,19.02
7,63,1635.81,21.03
7,64,1367.35,19.85
7,65,1259.22,17.93
7,66,454.61,3.84
7,67,871.03,9.27
7,68,785.11,11.61
7,69,519.36,5.46
7,70,750.08,7.98
7,71,1347.22,17.53
7,72,1047.19,14.41
7,73,687.37,8.2
7,74,974.98,10.86
7,75,1242.56,16.87
7,76,1422.45,16.46
7,77,1617.21,18.09
7,78,1612.94,20.83
7,79,1320.32,14.55
7,80,1285.31,15.21
7,81,1316.56,15.7
7,82,1098.58,13.34
7,83,900.53,10.36
7,84,753.2,8.07
7,85,553.08,6.19
7,86,544.68,5.26
7,87,559.27,6.17
7,88,1556.95,21.33
7,89,1494.72,17.17
7,90,1106.3,12.29
7,91,963.07,11.14
7,92,511.52,6.2
7,93,446.36,4.45
7,94,549.81,6.1
7,95,327.15,2.5
7,96,719.43,9.06
7,97,932.88,14.49
7,98,915.64,14.23
7,99,891.08,9.95
7,100,385.85,4.76
7,101,1185.04,17.44
7,102,1964.1,25.8
7,103,802.03,8.08
7,104,768.51,6.86
7,105,1012.93,11.28
7,106,1033.69,12.62
7,107,1102.8,10.72
7,108,895.61,10.39
7,109,549.74,6.46
7,110,938.23,9.39
7,111,757.44,8.43
7,112,810.27,11.55
7,113,1744.31,22.28
7,114,685.32,7.32
8,1,1121.58,12.2
8,2,993.42,8.85
8,3,964.08,11.14
8,4,1062.54,12.43
8,5,1191.23,14.2
8,6,982.64,9.21
8,7,875.19,8.91
8,8,0,0
8,9,960.52,11.43
8,10,392.71,3.68
8,11,837.68,9.23
8,12,854.84,9.62
8,13,1215.44,15.71
8,14,1296.36,14.25
8,15,1002.64,13.04
8,16,1404.96,16.65
8,17,1320.86,17.47
8,18,1138.33,14.66
8,19,1951.75,21.62
8,20,1011.85,11.01
8,21,1113.69,11.03
8,22,935.66,7.9
8,23,1122.17,16.85
8,24,686.24,6.99
8,25,1427.52,19.02
8,26,1431.73,15.46
8,27,806.13,7.28
8,28,1116.69,13.4
8,29,976.34,9.75
8,30,1184.93,14.65
8,31,1159.22,12.07
8,32,1120.81,11.41
8,33,1375.04,16
8,34,999.63,13.02
8,35,1398.58,16.89
8,36,636.99,6.12
8,37,913.67,10.12
8,38,496.29,5.65
8,39,1703.96,19.65
8,40,2192.37,26.37
8,41,1156.63,15.45
8,42,787.78,8.86
8,43,371.16,4.09
8,44,2284.53,29.4
8,45,998.33,7.66
8,46,1710.37,18.79
8,47,1787.11,21.59
8,48,1887.59,20.96
8,49,2071.83,22.15
8,50,2394.98,23.95
8,51,2037.32,24.5
8,52,1455.15,14.55
8,53,1927.29,25.93
8,54,1534.1,19.31
8,55,1478.31,17.8
8,56,808.75,9.71
8,57,291.17,2.5
8,58,1805.6,19.89
8,59,1863.95,19.69
8,60,1171.04,13.68
8,61,812.2,6.51
8,62,1524.79,20.38
8,63,1738.23,22.39
8,64,2086.02,26.5
8,65,1977.89,24.59
8,66,1016.99,8.98
8,67,1067.28,9.28
8,68,1050.28,10.32
8,69,738.75,6.54
8,70,959,8.28
8,71,1449.65,18.88
8,72,1536.44,16.52
8,73,1539.28,15.77
8,74,1464.61,16.19
8,75,2007.92,24.06
8,76,2287.86,25.32
8,77,2482.62,26.95
8,78,1715.36,22.19
8,79,1444.67,18.21
8,80,863.37,9.81
8,81,894.61,10.3
8,82,865.81,10.99
8,83,1032,14.78
8,84,982.66,13.79
8,85,1418.49,15.05
8,86,1256.44,14.45
8,87,1401.48,16.04
8,88,1659.38,22.68
8,89,1072.78,11.77
8,90,684.36,6.88
8,91,591.7,6.2
8,92,1376.93,15.06
8,93,1289.78,13.21
8,94,1168.5,10.57
8,95,1165.47,11.25
8,96,1584.85,17.92
8,97,1056.6,10.5
8,98,1241.69,11.7
8,99,1756.49,18.8
8,100,1251.27,13.62
8,101,1252.78,12.89
8,102,2066.52,27.15
8,103,677.09,5.29
8,104,644.87,4.32
8,105,770.59,5.57
8,106,521.47,4.74
8,107,355.08,3.1
8,108,1761.03,19.25
8,109,1393.16,15.22
8,110,1688.71,18.29
8,111,1600.86,17.2
8,112,1299.53,13.66
8,113,2462.99,28.93
8,114,1321.39,12.55
9,1,452.47,3.82
9,2,1364.68,16.6
9,3,762.92,7.6
9,4,574.09,7.21
9,5,608.14,7.59
9,6,1353.89,16.96
9,7,747.87,7.96
9,8,912.02,10.24
9,9,0,0
9,10,834.96,8.45
9,11,232.5,2.57
9,12,426.06,4.39
9,13,578.11,5.72
9,14,1010.84,12.23
9,15,653.64,10.08
9,16,845.23,9.91
9,17,683.53,7.48
9,18,500.99,4.67
9,19,1314.42,11.63
9,20,484.68,4.07
9,21,1484.94,18.78
9,22,1306.91,15.66
9,23,459.92,5.29
9,24,588.89,6.46
9,25,765.28,7.47
9,26,1080.38,13.06
9,27,665.57,7.08
9,28,787.95,9.39
9,29,1197.54,14.25
9,30,678.05,9.38
9,31,833.44,9.76
9,32,1197.6,16.67
9,33,844.8,11.01
9,34,547.78,7.06
9,35,946.74,10.93
9,36,615.66,6.36
9,37,398.2,4
9,38,564.63,4.95
9,39,1725.46,20.34
9,40,1994.76,26.09
9,41,807.63,12.49
9,42,481.78,6.3
9,43,1171.84,13.9
9,44,1676.23,22.48
9,45,1277.33,13.59
9,46,1731.87,19.48
9,47,1808.61,22.28
9,48,1543.23,18.48
9,49,1727.48,19.66
9,50,2050.63,21.47
9,51,1723.05,20.55
9,52,1421.42,17.81
9,53,1319,19.01
9,54,992.56,15.75
9,55,969.28,13.69
9,56,210.05,2.16
9,57,788.52,8.41
9,58,1461.25,17.4
9,59,1519.6,17.21
9,60,611.78,6.34
9,61,1306.38,15.21
9,62,916.49,13.45
9,63,1129.94,15.46
9,64,1888.41,26.22
9,65,1780.28,24.3
9,66,992.95,9.86
9,67,1301.15,14.07
9,68,1302.74,18.06
9,69,854.43,9.15
9,70,1180.2,12.78
9,71,841.35,11.96
9,72,1564.81,20.86
9,73,1208.43,14.57
9,74,1492.61,17.31
9,75,1763.62,23.24
9,76,1943.51,22.83
9,77,2138.26,24.46
9,78,1107.07,15.26
9,79,807.34,8.23
9,80,629.33,8.72
9,81,967.48,11.73
9,82,413.96,5.02
9,83,394.66,4.8
9,84,222.97,1.92
9,85,996.29,12.69
9,86,759.09,9.92
9,87,886.72,10.88
9,88,1051.08,15.76
9,89,787.25,9.75
9,90,402.78,3.94
9,91,793.76,8.22
9,92,1032.58,12.57
9,93,963.99,10.9
9,94,1067.44,12.55
9,95,925.94,10.43
9,96,1240.49,15.43
9,97,1427.85,18.26
9,98,1433.27,20.68
9,99,1364.84,16.41
9,100,906.91,11.13
9,101,1624.03,20.64
9,102,1458.23,20.23
9,103,1169.13,11.52
9,104,947.75,8.35
9,105,1368.87,12.49
9,106,868.21,9.71
9,107,1155.76,12.91
9,108,1416.67,16.76
9,109,1067.37,12.91
9,110,1455.86,15.84
9,111,1275.07,14.88
9,112,1327.9,18
9,113,2265.37,28.65
9,114,1202.95,13.77
10,1,869.62,7.88
10,2,1016.28,8.54
10,3,771.48,6.44
10,4,893.49,8.89
10,5,1018.66,9.39
10,6,1005.5,8.9
10,7,723.09,7.75
10,8,390.09,3.36
10,9,810.44,8.79
10,10,0,0
10,11,674.58,7.29
10,12,644.36,6.1
10,13,1131.87,13.69
10,14,1212.79,12.23
10,15,919.07,11.02
10,16,1292.34,13.47
10,17,1231.24,13.51
10,18,1054.76,12.64
10,19,1868.18,19.6
10,20,759.89,6.69
10,21,1136.55,10.72
10,22,958.52,7.59
10,23,997.27,9
10,24,387.87,3.68
10,25,1302.62,11.18
10,26,1266.51,13.74
10,27,643.73,6.25
10,28,924.1,8.7
10,29,952.85,8.51
10,30,992.34,9.96
10,31,1007.13,10.91
10,32,1143.67,11.1
10,33,1262.42,12.82
10,34,887.01,9.85
10,35,1285.96,13.71
10,36,338.63,2.81
10,37,679.19,6.19
10,38,412.72,3.63
10,39,1680.91,20.59
10,40,2169.32,27.31
10,41,1073.06,13.43
10,42,704.21,6.83
10,43,649.91,7.01
10,44,2171.91,26.22
10,45,1021.19,7.35
10,46,1687.32,19.73
10,47,1764.06,22.53
10,48,1722.36,19.25
10,49,1906.61,20.43
10,50,2229.76,22.24
10,51,1902.18,21.32
10,52,1370,14.41
10,53,1814.67,22.75
10,54,1421.48,16.13
10,55,1365.69,14.62
10,56,696.13,6.54
10,57,300.93,1.83
10,58,1640.38,18.17
10,59,1698.73,17.98
10,60,1060.32,10.09
10,61,835.06,6.2
10,62,1412.17,17.2
10,63,1625.61,19.21
10,64,2062.97,27.44
10,65,1954.84,25.53
10,66,864.89,7.82
10,67,1056.46,8.34
10,68,1073.14,10.01
10,69,586.66,5.37
10,70,935.51,7.04
10,71,1337.02,15.7
10,72,1513.4,17.46
10,73,1387.18,14.61
10,74,1441.56,17.13
10,75,1942.75,24.01
10,76,2122.64,23.6
10,77,2317.39,25.23
10,78,1602.74,19.01
10,79,1361.1,16.19
10,80,779.8,7.79
10,81,811.04,8.28
10,82,753.18,7.81
10,83,948.43,12.76
10,84,899.09,11.77
10,85,1253.27,13.33
10,86,1087.38,10.91
