O,D,Walk_time,Walk_dist
6,84,11418.74,15.86
6,85,11066.88,15.37
6,86,10914.7,15.16
6,87,10598.28,14.72
6,88,19459.8,27.03
6,89,12913.17,17.94
6,90,9315.34,12.94
6,91,8220.51,11.42
6,92,9127.2,12.68
6,93,7719.63,10.72
6,94,5500.88,7.64
6,95,6607.53,9.18
6,96,10223.58,14.2
6,97,1637.81,2.27
6,98,2400.51,3.33
6,99,10848.22,15.07
6,100,10121.47,14.06
6,101,3881.83,5.39
6,102,22101.9,30.7
6,103,3853.55,5.35
6,104,5943.75,8.26
6,105,4577.94,6.36
6,106,9521.57,13.22
6,107,8052.63,11.18
6,108,8821.97,12.25
6,109,7327.43,10.18
6,110,8537.29,11.86
6,111,8222.9,11.42
6,112,3746.38,5.2
6,113,16835.3,23.38
6,114,5507.07,7.65
7,1,3861.57,5.36
7,2,8135.42,11.3
7,3,1532.12,2.13
7,4,2705.65,3.76
7,5,3503.7,4.87
7,6,7949.75,11.04
7,7,0,0
7,8,7322.66,10.17
7,9,5930.43,8.24
7,10,5600.73,7.78
7,11,5100.24,7.08
7,12,4892.78,6.8
7,13,6886.46,9.56
7,14,13997.24,19.44
7,15,11469.56,15.93
7,16,10633.53,14.77
7,17,9338.78,12.97
7,18,7216.6,10.02
7,19,12462.05,17.31
7,20,3729.1,5.18
7,21,9733.27,13.52
7,22,7416.35,10.3
7,23,4216.92,5.86
7,24,2901.57,4.03
7,25,5129.98,7.13
7,26,4524.69,6.28
7,27,2164.71,3.01
7,28,1381.26,1.92
7,29,4598.75,6.39
7,30,2495.27,3.47
7,31,2448.72,3.4
7,32,7351.95,10.21
7,33,11273.6,15.66
7,34,10222.92,14.2
7,35,12865.29,17.87
7,36,4270.21,5.93
7,37,3428.58,4.76
7,38,6210.62,8.63
7,39,9548.47,13.26
7,40,13845.98,19.23
7,41,13827.56,19.21
7,42,9598.05,13.33
7,43,10385.68,14.42
7,44,21035.24,29.22
7,45,6135.08,8.52
7,46,8790.48,12.21
7,47,9072.58,12.6
7,48,8586.92,11.93
7,49,9049.94,12.57
7,50,9958.93,13.83
7,51,9323.75,12.95
7,52,6871.95,9.54
7,53,18282.84,25.39
7,54,14856.25,20.63
7,55,13662.82,18.98
7,56,6901.19,9.59
7,57,6924.27,9.62
7,58,7822.29,10.86
7,59,7461.1,10.36
7,60,8917.24,12.39
7,61,7045.95,9.79
7,62,13207.2,18.34
7,63,14199.4,19.72
7,64,13020.89,18.08
7,65,12489.39,17.35
7,66,2176.87,3.02
7,67,5886.11,8.18
7,68,6708.84,9.32
7,69,3709.48,5.15
7,70,4131.12,5.74
7,71,12134.79,16.85
7,72,9180.25,12.75
7,73,4895.67,6.8
7,74,7585.55,10.54
7,75,11448.95,15.9
7,76,11792.18,16.38
7,77,13112.89,18.21
7,78,13132.94,18.24
7,79,9558.32,13.28
7,80,10135.68,14.08
7,81,10664.25,14.81
7,82,8803.91,12.23
7,83,6958.89,9.67
7,84,5534.4,7.69
7,85,4031.08,5.6
7,86,3577.21,4.97
7,87,2889.9,4.01
7,88,15877.48,22.05
7,89,11818.86,16.42
7,90,8195.34,11.38
7,91,7521.48,10.45
7,92,3831.23,5.32
7,93,3242.2,4.5
7,94,3886.92,5.4
7,95,2231.27,3.1
7,96,5833.19,8.1
7,97,9325.32,12.95
7,98,9585.99,13.31
7,99,6232.68,8.66
7,100,3312.15,4.6
7,101,11290.87,15.68
7,102,18044.73,25.06
7,103,5109.3,7.1
7,104,4709.54,6.54
7,105,6904.58,9.59
7,106,8922.15,12.39
7,107,10630.5,14.76
7,108,6921.35,9.61
7,109,4334.63,6.02
7,110,7467.68,10.37
7,111,5547.2,7.7
7,112,8213.45,11.41
7,113,15276.8,21.22
7,114,5852.33,8.13
8,1,8360.08,11.61
8,2,5473.35,7.6
8,3,7211.74,10.02
8,4,8393.2,11.66
8,5,9477.48,13.16
8,6,6577.96,9.14
8,7,7322.66,10.17
8,8,0,0
8,9,7331.09,10.18
8,10,2616,3.63
8,11,7173.48,9.96
8,12,5069.58,7.04
8,13,10841.53,15.06
8,14,10497.43,14.58
8,15,7068.59,9.82
8,16,11229.49,15.6
8,17,10192.61,14.16
8,18,8342.59,11.59
8,19,15052.51,20.91
8,20,7018.58,9.75
8,21,6034.29,8.38
8,22,4483.64,6.23
8,23,9450.38,13.13
8,24,5438.77,7.55
8,25,10136.78,14.08
8,26,11286.14,15.68
8,27,5523.77,7.67
8,28,8603.6,11.95
8,29,6906.12,9.59
8,30,10085.42,14.01
8,31,9035.29,12.55
8,32,8244.46,11.45
8,33,10645.6,14.79
8,34,8856.31,12.3
8,35,11196.77,15.55
8,36,4052.81,5.63
8,37,6429.47,8.93
8,38,4230.78,5.88
8,39,13273.13,18.44
8,40,19187.3,26.65
8,41,9605.67,13.34
8,42,5978.07,8.3
8,43,2576.56,3.58
8,44,20774.54,28.85
8,45,5251.51,7.29
8,46,12249.44,17.01
8,47,13271.76,18.43
8,48,14016.63,19.47
8,49,15157.65,21.05
8,50,15565.53,21.62
8,51,14665.08,20.37
8,52,9378.68,13.03
8,53,17133.49,23.8
8,54,13187.73,18.32
8,55,11973.25,16.63
8,56,5904.79,8.2
8,57,1894.72,2.63
8,58,13826.52,19.2
8,59,12853.45,17.85
8,60,9043.33,12.56
8,61,3298.98,4.58
8,62,13369.15,18.57
8,63,14758,20.5
8,64,18955.07,26.33
8,65,17830.71,24.77
8,66,6410.68,8.9
8,67,5983.42,8.31
8,68,7255.67,10.08
8,69,4970.38,6.9
8,70,5900.45,8.2
8,71,12579.39,17.47
8,72,11487.99,15.96
8,73,10746.87,14.93
8,74,10874.07,15.1
8,75,16790.28,23.32
8,76,17803.64,24.73
8,77,19124.35,26.56
8,78,14505.4,20.15
8,79,11355.29,15.77
8,80,5790.76,8.04
8,81,6319.32,8.78
8,82,7223.7,10.03
8,83,10084.34,14.01
8,84,8787.19,12.2
8,85,11136.27,15.47
8,86,9887.03,13.73
8,87,10112.24,14.04
8,88,15141.93,21.03
8,89,8472.85,11.77
8,90,4875.03,6.77
8,91,3117.79,4.33
8,92,10592.69,14.71
8,93,9319.39,12.94
8,94,8036.84,11.16
8,95,7972.15,11.07
8,96,11837.43,16.44
8,97,7021.23,9.75
8,98,8502.22,11.81
8,99,12462.07,17.31
8,100,10245.79,14.23
8,101,7809.22,10.85
8,102,17784.03,24.7
8,103,4046.53,5.62
8,104,3106.37,4.31
8,105,2756.55,3.83
8,106,2813.16,3.91
8,107,3923.74,5.45
8,108,12554.78,17.44
8,109,9914.48,13.77
8,110,12614.28,17.52
8,111,11112.33,15.43
8,112,9713.24,13.49
8,113,20568.11,28.57
8,114,9239.88,12.83
9,1,3080.95,4.28
9,2,11165.85,15.51
9,3,4628.24,6.43
9,4,4323.66,6.01
9,5,5454.98,7.58
9,6,11145.14,15.48
9,7,5930.43,8.24
9,8,7331.09,10.18
9,9,0,0
9,10,4898.62,6.8
9,11,1455.9,2.02
9,12,3067.34,4.26
9,13,3653.53,5.07
9,14,8316.65,11.55
9,15,6543.78,9.09
9,16,5606.65,7.79
9,17,4311.9,5.99
9,18,2016.32,2.8
9,19,8642.92,12
9,20,2558.39,3.55
9,21,12258.79,17.03
9,22,10307.1,14.32
9,23,3769.05,5.23
9,24,3810.58,5.29
9,25,4113.7,5.71
9,26,8950.7,12.43
9,27,5324.17,7.39
9,28,6168.06,8.57
9,29,8794.07,12.21
9,30,6222.38,8.64
9,31,7235.52,10.05
9,32,11304.07,15.7
9,33,5657.57,7.86
9,34,4542.33,6.31
9,35,7184.7,9.98
9,36,4239.9,5.89
9,37,2624.09,3.64
9,38,3419.26,4.75
9,39,14407.5,20.01
9,40,18638.04,25.89
9,41,8378.26,11.64
9,42,4300.55,5.97
9,43,9353.2,12.99
9,44,16094.48,22.35
9,45,9564.53,13.28
9,46,13649.51,18.96
9,47,13931.62,19.35
9,48,13017.57,18.08
9,49,13480.59,18.72
9,50,14389.58,19.99
9,51,14115.81,19.61
9,52,11241.54,15.61
9,53,12453.43,17.3
9,54,9175.66,12.74
9,55,8046.79,11.18
9,56,1469.91,2.04
9,57,5948.62,8.26
9,58,12252.94,17.02
9,59,12021.28,16.7
9,60,3698.76,5.14
9,61,9496.19,13.19
9,62,8180.32,11.36
9,63,9361.43,13
9,64,17451.54,24.24
9,65,17281.44,24
9,66,6547.32,9.09
9,67,9329.89,12.96
9,68,10716.3,14.88
9,69,6605.97,9.18
9,70,7913.38,10.99
9,71,7156,9.94
9,72,13549.84,18.82
9,73,9622.4,13.36
9,74,12444.59,17.28
9,75,16241.01,22.56
9,76,16222.83,22.53
9,77,17543.54,24.37
9,78,8431.62,11.71
9,79,4911.79,6.82
9,80,6195.08,8.6
9,81,7404.46,10.28
9,82,3109.66,4.32
9,83,2901.14,4.03
9,84,1645.58,2.29
9,85,8300.84,11.53
9,86,6100.67,8.47
9,87,7158.64,9.94
9,88,10526.81,14.62
9,89,6369.56,8.85
9,90,3220.36,4.47
9,91,4786.76,6.65
9,92,8370.29,11.63
9,93,8101.23,11.25
9,94,8991.66,12.49
9,95,7644.64,10.62
9,96,10263.84,14.26
9,97,12101.23,16.81
9,98,13117.63,18.22
9,99,10658.7,14.8
9,100,7641.31,10.61
9,101,14321.29,19.89
9,102,13103.97,18.2
9,103,7324.36,10.17
9,104,5489.8,7.62
9,105,8706.45,12.09
9,106,6827.61,9.48
9,107,11066.14,15.37
9,108,11780.39,16.36
9,109,9193.67,12.77
9,110,12326.72,17.12
9,111,10406.24,14.45
9,112,12583.04,17.48
9,113,19707.46,27.37
9,114,10515.28,14.6
10,1,5751.83,7.99
10,2,6286.1,8.73
10,3,4595.73,6.38
10,4,5777.2,8.02
10,5,6861.47,9.53
10,6,6355.56,8.83
10,7,5600.73,7.78
10,8,2616,3.63
10,9,4898.62,6.8
10,10,0,0
10,11,4601.1,6.39
10,12,2506.69,3.48
10,13,8380.73,11.64
10,14,9222.29,12.81
10,15,6623.56,9.2
10,16,9149.48,12.71
10,17,8112.6,11.27
10,18,6102.21,8.48
10,19,12972.5,18.02
10,20,4402.58,6.11
10,21,7379.04,10.25
10,22,5427.35,7.54
10,23,6834.37,9.49
10,24,2822.76,3.92
10,25,7528.53,10.46
10,26,9893.26,13.74
10,27,3927.86,5.46
10,28,6863.31,9.53
10,29,5670.34,7.88
10,30,7469.41,10.37
10,31,7642.4,10.61
10,32,7779.08,10.8
10,33,8565.59,11.9
10,34,6927.67,9.62
10,35,9268.13,12.87
10,36,1436.8,2
10,37,3813.46,5.3
10,38,1914.38,2.66
10,39,12037.36,16.72
10,40,17951.53,24.93
10,41,9104.6,12.65
10,42,4702.93,6.53
10,43,4784.95,6.65
10,44,18845.89,26.18
10,45,5029.11,6.98
10,46,11013.67,15.3
10,47,12035.98,16.72
10,48,12780.86,17.75
10,49,13764.76,19.12
10,50,14329.75,19.9
10,51,13429.3,18.65
10,52,8142.91,11.31
