O,D,str.dist,Bike_ta,Bike_da,Walk_ta,Walk_da,Car_ta,Car_da,Bike_dr,Walk_dr,Car_dr
3,6,9.555068459,2412.96,11.85,8420.41,11.7,992.03,12.78,1.240179497,1.224481023,1.33751004
3,7,1.556508587,497.3,2.43,1532.12,2.13,334.6,3.31,1.561186376,1.368447317,2.126554281
3,8,7.914844579,2282.76,10.99,7211.74,10.02,964.95,11.33,1.388530108,1.265975585,1.431487364
3,9,4.686207225,1565.79,7.58,4628.24,6.43,657.09,6.84,1.617512764,1.372111751,1.459602547
3,10,5.379956516,1582.93,7.71,4595.73,6.38,884.58,6.57,1.433097085,1.185883191,1.221199462
3,11,3.390939723,1227.66,5.52,4041.98,5.61,521.22,5.34,1.627867332,1.654408647,1.574784701
3,12,3.815767837,1155.36,5.74,3727.11,5.18,550.72,5.08,1.504284392,1.357524939,1.331317894
3,13,6.152210575,1927.95,9.34,5773.48,8.02,981.03,9.89,1.518153497,1.303596472,1.607552258
3,14,13.22130523,3648.6,17.82,12695.04,17.63,1569.43,17.48,1.347824568,1.333453823,1.322108498
3,15,10.84553364,2926.01,14.4,10303.88,14.31,1216.89,16.36,1.327735497,1.31943715,1.508455051
3,16,10.19029995,2814.04,13.52,9331.33,12.96,1280.77,14.33,1.326751918,1.271797696,1.406239274
3,17,8.704911658,2452.23,11.98,8036.58,11.16,1126.18,12.66,1.376234529,1.282034837,1.454351348
3,18,6.238483973,1871.77,9.1,5914.4,8.21,981.09,10.61,1.458687726,1.31602486,1.700733711
3,19,8.787038929,3017.12,14.71,11317.6,15.72,1711.15,15.36,1.674056542,1.788998561,1.748029128
3,20,1.973435645,734.45,3.67,2670.85,3.71,471.1,3.73,1.859700877,1.879970097,1.890104706
3,21,11.44367505,2867.48,14.26,10437.99,14.5,1123.09,14.61,1.246103191,1.267075475,1.276687772
3,22,9.035254811,2210.52,11,8121.07,11.28,945.06,11.48,1.217453213,1.248442931,1.270578444
3,23,2.97953124,1032.59,4.91,3103.93,4.31,656.18,5.87,1.647910226,1.446536268,1.97010856
3,24,1.941816798,581.96,2.91,1810.17,2.51,367.8,2.71,1.498596573,1.292603917,1.395600245
